t	SUM_dt	worn	extrapol

24.04	-1	+
25.04	-5	+
26	-11	+/-
07.05	0	+
08.05	-1	+
09	-4	+
10	-3	++
11	+1	+
12	+4	+
13	+2	+
14	-1	+
15	-6	+
16	-10	+
17	-14	+
18	-18	+	x
19	-14	+	x
20	-12	+	x
21	-10	+
22	-15	+
23	-25	+	x
24	-37	+
25	-33	++
26	-30	++
27	-26	++
28	-24	++
29	-21	++	x
30	-17	++	x
31	-14	+
01.06	-10	++
02.06	-5	++
03.06	+1	++
04	+5	++
05	+8	++
06	+12	++
07	+16	++
08	+19	+
09	+21	+	x
10	+21	+	
11	+20	+
12	+19	+
13	+15	+	x
14	+11	+	x
15	+6	+	x
16	+5	+
25.06	+3	++	
26	+3	+
27	+1	+
28	+2	+
29	+4	+
30	0	+
01.07	-5	+
02.07	-13	+
03	-19	++
04	-18	+
05	-20	+
06	-22	++
07	-21	+	x
08	-20	++
09	-19	+	x
10	-17	++	x
11	-15	++
12	-13	++
13	-11	++	x
14	-9	++	x
15	-7	++
16	-7	+
17	-12	+
18	-13	++
19	-10	++
20	-8	++	x
21	-6	++	x
22	-5	+
23	-3	++
24	-2	++
25	-3	+
26	-5	+
27	-3	++	x
28	-1	++	x
29	0	+
30	-2	+
31	-9	+
01.08	-15	+
02.08	-20	++
03.08	-18	++
04	-18	+	x
05	-17	+	
06	-15	++
07	-12	++
08	-9	++
09	-5	++
10	-2	++	x
11	+2	++
26.08	-2	++
27.08	+1	++
28.08	+2	++
29.08	+4	+
04.09	-1	+
05.09	+2	++
06	+4	++
07	+6	++	x	
08	+7	+	x
09	+5	+	
10	+2	++
11	+4	++
12	+5	+	x
13	+5	+
14	-9	++
15	-5	++
16	-3	++
17	+2	++
18	+5	+
19	+4	+
20	+4	++
21	+8	+	x
22	+10	+	x
23	+11	+
24	+5	+	x
25	-5	++	
26	-3	++
27	+1	+
28	+2	+	x
29	+3	+	x
30	+3	+
01.10	+6	+
02.10	+6	++
03.10	+7	+
04	+4	++	
05	+1	+	x
06	-7	+	x
07	-15	++	x
08	-24	++
09	-22	++
10	-20	++	x
11	-18	++	x
12	-16	++	x
13	-14	++
14	-11	++	x
15	-8	++	x
16	-5	++
17	-3	++	x
18	+0	++	x
19	+2	+	x
20	+4	+	x
21	+6	++	
22	+7	+
23	+8	++	x
24	+7	+	
25	+7	++
26	+8	+	x
27	0	+	x
28	0	++
29	+3	+
30	+3	++
31	+4	+	x
01.11	+1	++
02.11	+4	+	x
03.11	+9	+	x
04	+13	++
05	+15	+
06	+14	+
07	+10	+
08	+3	+
09	+2	+	x
10	+1	++	x
11	+1	+	x
12	0	+
13	+2	++
14	0	+	x
15	-3	++
16	-2	+	x
17	-1	+	x
18	0	+
19	-3	++	
20	-4	+
21	-6	++
22	-5	++
23	-8	+	x
24	-10	+	x
25	-12	+	x
26	-16	+	x
27	-19	+	x
28	-22	+	x
29	-24	+	x
30	-26	+
01.12	-26	++	x
02.12	-25	++
03.12	-24	++
04	-22	++
05	-21	++
06	-20	++	x
07	-19	++	x
08	-18	++	x
09	-16	++
10	-15	++
11	-12	++
12	-10	++
13	-9	++	x
14	-8	++	x
15	-7	++	x
16	-7	++
17	-5	++
18	-3	++
19	-3	++
20	-1	++
21	-1	+	x
22	0	++	x
23	+1	+
24	+1	+	x
25	+1	++	x
26	+1	+	x
27	+2	++	x
28	+2	+	x
29	+2	++	x
30	+2	+
31	-3	++
01.01	-2	+	x
02.01	-2	++
03.01	-2	++
04	-1	+	x
05	-1	++	x
06	0	++	x
07	0	+
08	-2	++
09	-3	++
10	-2	++
11	-1	++	x
12	-1	++	x
13	0	++
14	-1	+	x
15	-2	++	x
16	-2	+	x
17	-3	++	x
18	-4	+	x
19	-5	++	x
20	-6	++	
21	-6	++	x
22	-6	++
23	-6	++
24	-7	++	x
25	-7	++	x
26	-6	++	x
27	-6	+
28	-6	++	x
29	-6	+	x
30	-6	++	x
31	-6	++
01.02	-6	++	x	
02.02	-6	++	x
03.02	-5	++
04	-5	+
05	-4	++
06	-4	++
07	-4	+
08	-4	++	x
09	-5	+	x
10	-10	++
11	-10	++
12	-9	++
13	-7	++
14	-7	++
15	-7	++	x
16	-7	+	x
17	-7	++
18	-7	++
19	-7	++
20	-7	++
21	-7	++
22	-7	++	x
23	-7	++	x
24	-8	++
25	-8	++	x
26	-8	+
27	-10	++	x
28	-12	+	x
29	-14	+	x
01.03	-16	+	x
02.03	-17	++	
03.03	-17	++
04	+2	++
05	+3	++
06	+4	++
07	+3	++	x
08	+3	++	x
09	+2	+	x
10	+1	+	x
11	+0	++	x
12	+0	+	x
13	-1	++	x
14	-1	++	x
15	-2	++	x
16	-2
17	-2	++
18	-2	++
19	-2	++
20	-1	++	x
21	-1	++	x
22	0	++	x
23	+1	++
24	+2	++
25	+2	++
26	+3	++
27	+4	++
28	+3	++	x
29	+3	+	x
30	+1	++
31	-4	+
01.04	-4	+	x
02.04	-3	++
03.04	-2	++	x
04	-2	++	x
05	-1	++	x
06	0	++
05.05	0	++
05.06	-1	++

